Product,User,Comment,Rating,Date
Áo thun,user_268,"Sản phẩm rất tốt, giao hàng nhanh.",2,2023-04-04
Giày thể thao,user_398,Dịch vụ khách hàng rất tệ.,4,2023-09-03
Áo thun,user_319,Sẽ tiếp tục mua hàng lần sau.,4,2023-02-08
Điện thoại,user_295,Không hài lòng với chất lượng sản phẩm.,5,2024-10-11
Bàn phím cơ,user_141,"Đóng gói cẩn thận, giá hợp lý.",4,2023-06-03
Áo thun,user_497,Giao hàng rất nhanh và đúng hẹn.,2,2024-06-14
Áo thun,user_358,Giao hàng rất nhanh và đúng hẹn.,4,2024-07-07
Giày thể thao,user_380,"Màu sắc đẹp, nhưng chất liệu không ổn.",4,2023-08-12
Laptop,user_309,Chất lượng không đúng như mong đợi.,1,2024-10-22
Giày thể thao,user_206,Chất lượng không đúng như mong đợi.,4,2023-06-07
Áo thun,user_106,"Đóng gói cẩn thận, giá hợp lý.",2,2023-11-24
Laptop,user_408,"Sản phẩm bị lỗi, yêu cầu đổi trả.",4,2024-04-23
Điện thoại,user_40,"Đóng gói cẩn thận, giá hợp lý.",2,2023-12-11
Laptop,user_480,"Màu sắc đẹp, nhưng chất liệu không ổn.",4,2023-02-23
Bàn phím cơ,user_211,Không hài lòng với chất lượng sản phẩm.,5,2023-05-10
Giày thể thao,user_205,"Sản phẩm bị lỗi, yêu cầu đổi trả.",5,2023-06-21
Bàn phím cơ,user_279,Sẽ tiếp tục mua hàng lần sau.,3,2024-10-16
Áo thun,user_90,Dịch vụ khách hàng rất tệ.,4,2024-08-01
Giày thể thao,user_397,Không hài lòng với chất lượng sản phẩm.,1,2023-01-27
Giày thể thao,user_95,"Màu sắc đẹp, nhưng chất liệu không ổn.",3,2023-04-25
Giày thể thao,user_38,Dịch vụ khách hàng rất tệ.,5,2023-08-19
Áo thun,user_99,Chất lượng không đúng như mong đợi.,5,2023-06-21
Laptop,user_254,"Sản phẩm rất tốt, giao hàng nhanh.",2,2023-09-23
Giày thể thao,user_469,"Đóng gói cẩn thận, giá hợp lý.",4,2023-08-29
Giày thể thao,user_43,"Màu sắc đẹp, nhưng chất liệu không ổn.",5,2024-09-04
Áo thun,user_386,"Sản phẩm rất tốt, giao hàng nhanh.",3,2023-09-18
Laptop,user_28,"Sản phẩm rất tốt, giao hàng nhanh.",1,2024-10-25
